Ticker,Date,Open,High,Low,Close
DJUSBK,09/03/2018,487.86,487.86,487.86,487.86
DJUSBK,08/31/2018,487.86,487.86,487.86,487.86
DJUSBK,08/30/2018,488.13,488.13,488.13,488.13
DJUSBK,08/29/2018,491.83,491.83,491.83,491.83
DJUSBK,08/28/2018,492.83,492.83,492.83,492.83
DJUSBK,08/27/2018,493.95,493.95,493.95,493.95
DJUSBK,08/24/2018,488.18,488.18,488.18,488.18
DJUSBK,08/23/2018,488.47,488.47,488.47,488.47
DJUSBK,08/22/2018,491.13,491.13,491.13,491.13
DJUSBK,08/21/2018,491.95,491.95,491.95,491.95
DJUSBK,08/20/2018,489.16,489.16,489.16,489.16
DJUSBK,08/17/2018,487.58,487.58,487.58,487.58
DJUSBK,08/16/2018,486.72,486.72,486.72,486.72
DJUSBK,08/15/2018,480.54,480.54,480.54,480.54
DJUSBK,08/14/2018,485.38,485.38,485.38,485.38
DJUSBK,08/13/2018,480.1,480.1,480.1,480.1
DJUSBK,08/10/2018,486.4,486.4,486.4,486.4
DJUSBK,08/09/2018,491.45,491.45,491.45,491.45
DJUSBK,08/08/2018,495.33,495.33,495.33,495.33
DJUSBK,08/07/2018,492.47,492.47,492.47,492.47
DJUSBK,08/06/2018,491.52,491.52,491.52,491.52
DJUSBK,08/03/2018,491.36,491.36,491.36,491.36
DJUSBK,08/02/2018,489.18,489.18,489.18,489.18
DJUSBK,08/01/2018,486.76,486.76,486.76,486.76
DJUSBK,07/31/2018,483.65,483.65,483.65,483.65
DJUSBK,07/30/2018,489.14,489.14,489.14,489.14
DJUSBK,07/27/2018,487.57,487.57,487.57,487.57
DJUSBK,07/26/2018,484.8,484.8,484.8,484.8
DJUSBK,07/25/2018,484.72,484.72,484.72,484.72
DJUSBK,07/24/2018,483.86,483.86,483.86,483.86
DJUSBK,07/23/2018,483.14,483.14,483.14,483.14
DJUSBK,07/20/2018,474.31,474.31,474.31,474.31
DJUSBK,07/19/2018,470.77,470.77,470.77,470.77
DJUSBK,07/18/2018,475.75,475.75,475.75,475.75
DJUSBK,07/17/2018,472.3,472.3,472.3,472.3
DJUSBK,07/16/2018,471.88,471.88,471.88,471.88
DJUSBK,07/13/2018,458.76,458.76,458.76,458.76
DJUSBK,07/12/2018,463.27,463.27,463.27,463.27
DJUSBK,07/11/2018,463.32,463.32,463.32,463.32
DJUSBK,07/10/2018,465.56,465.56,465.56,465.56
DJUSBK,07/09/2018,469.04,469.04,469.04,469.04
DJUSBK,07/06/2018,456.86,456.86,456.86,456.86
DJUSBK,07/05/2018,453.99,453.99,453.99,453.99
DJUSBK,07/04/2018,453.08,453.08,453.08,453.08
DJUSBK,07/03/2018,453.08,453.08,453.08,453.08
DJUSBK,07/02/2018,458.75,458.75,458.75,458.75
DJUSBK,06/29/2018,454.95,454.95,454.95,454.95
DJUSBK,06/28/2018,455.24,455.24,455.24,455.24
DJUSBK,06/27/2018,450.96,450.96,450.96,450.96
DJUSBK,06/26/2018,456.76,456.76,456.76,456.76
DJUSBK,06/25/2018,458.13,458.13,458.13,458.13
DJUSBK,06/22/2018,462.79,462.79,462.79,462.79
DJUSBK,06/21/2018,467.93,467.93,467.93,467.93
DJUSBK,06/20/2018,467.95,467.95,467.95,467.95
DJUSBK,06/19/2018,468.54,468.54,468.54,468.54
DJUSBK,06/18/2018,468.79,468.79,468.79,468.79
DJUSBK,06/15/2018,467.93,467.93,467.93,467.93
DJUSBK,06/14/2018,468.13,468.13,468.13,468.13
DJUSBK,06/13/2018,473.79,473.79,473.79,473.79
DJUSBK,06/12/2018,475.38,475.38,475.38,475.38
DJUSBK,06/11/2018,477.43,477.43,477.43,477.43
DJUSBK,06/08/2018,479.98,479.98,479.98,479.98
DJUSBK,06/07/2018,479.12,479.12,479.12,479.12
DJUSBK,06/06/2018,478.54,478.54,478.54,478.54
DJUSBK,06/05/2018,468.06,468.06,468.06,468.06
DJUSBK,06/04/2018,470.73,470.73,470.73,470.73
DJUSBK,06/01/2018,469.05,469.05,469.05,469.05
DJUSBK,05/31/2018,463.26,463.26,463.26,463.26
DJUSBK,05/30/2018,467.21,467.21,467.21,467.21
DJUSBK,05/29/2018,458.18,458.18,458.18,458.18
DJUSBK,05/28/2018,476.01,476.01,476.01,476.01
DJUSBK,05/25/2018,476.01,476.01,476.01,476.01
DJUSBK,05/24/2018,477.88,477.88,477.88,477.88
DJUSBK,05/23/2018,482.79,482.79,482.79,482.79
DJUSBK,05/22/2018,485.28,485.28,485.28,485.28
DJUSBK,05/21/2018,480.81,480.81,480.81,480.81
DJUSBK,05/18/2018,476.79,476.79,476.79,476.79
DJUSBK,05/17/2018,483.73,483.73,483.73,483.73
DJUSBK,05/16/2018,485.41,485.41,485.41,485.41
DJUSBK,05/15/2018,485.67,485.67,485.67,485.67
DJUSBK,05/14/2018,484.93,484.93,484.93,484.93
DJUSBK,05/11/2018,485.12,485.12,485.12,485.12
DJUSBK,05/10/2018,485.3,485.3,485.3,485.3
DJUSBK,05/09/2018,481.67,481.67,481.67,481.67
DJUSBK,05/08/2018,473.67,473.67,473.67,473.67
